on day 0, the price was $10.00
on day 1, the price was $10.86
on day 2, the price was $12.70
on day 3, the price was $14.44
on day 4, the price was $14.03
on day 5, the price was $13.53
on day 6, the price was $15.03
on day 7, the price was $14.91
on day 8, the price was $14.80
on day 9, the price was $16.99
on day 10, the price was $19.62
on day 11, the price was $20.39
on day 12, the price was $23.08
on day 13, the price was $24.18
on day 14, the price was $23.33
on day 15, the price was $22.87
on day 16, the price was $24.83
on day 17, the price was $23.97
on day 18, the price was $27.50
on day 19, the price was $28.68
on day 20, the price was $29.18
on day 21, the price was $28.81
on day 22, the price was $28.77
on day 23, the price was $27.65
on day 24, the price was $32.11
on day 25, the price was $30.66
on day 26, the price was $29.58
on day 27, the price was $28.26
on day 28, the price was $28.26
on day 29, the price was $29.04
on day 30, the price was $27.79
on day 31, the price was $27.31
on day 32, the price was $30.86
on day 33, the price was $30.70
on day 34, the price was $31.64
on day 35, the price was $34.10
on day 36, the price was $38.42
on day 37, the price was $37.49
on day 38, the price was $40.37
on day 39, the price was $39.70
on day 40, the price was $46.34
on day 41, the price was $53.75
on day 42, the price was $60.40
on day 43, the price was $58.83
on day 44, the price was $56.97
on day 45, the price was $55.28
on day 46, the price was $55.21
on day 47, the price was $58.21
on day 48, the price was $67.13
on day 49, the price was $71.56
on day 50, the price was $75.71
on day 51, the price was $87.12
on day 52, the price was $86.72
on day 53, the price was $85.05
on day 54, the price was $91.78
on day 55, the price was $88.38
on day 56, the price was $91.17
on day 57, the price was $101.08
